Contact Id,Tag Added,Should have Added,Status
yOeKA3OwhAY0IodaoDr0,yes,question not found - skip add tag,effected
YWMFGOkJxl9R3JcViJjo,yes,question not found - skip add tag,effected
chjmHWhUDbavvexLa0QP,yes,question not found - skip add tag,effected
Pe4CNTsXYYbejc9MQG24,yes,question not found - skip add tag,effected
5BLdt9JQdnrvXOckwwrC,yes,question not found - skip add tag,effected
jcTDXmMJMYouEo6IJkWL,no,no,not-effected
YSDYCFG9yGHlIDOX9bXd,yes,question not found - skip add tag,effected
bv9hZAa9nnKCk3cpJ7d5,no,no,not-effected
x4gdAGbkg8ZRO1TQ0j6u,yes,question not found - skip add tag,effected
0fVDV9tNMvv5xn1nRpK4,yes,question not found - skip add tag,effected
UgXKaycRMrHFsKi7muDl,yes,question not found - skip add tag,effected
Wf0PGJfXKWSCkkUEbZ3y,yes,question not found - skip add tag,effected
DLDgUBHFPfxZ280viZha,yes,question found but answer not found - add tag,not-effected
84Pjdko70Cborfz6GsU4,yes,question not found - skip add tag,effected
HjuD2WwSccY4oBDngcX5,no,no,not-effected
RUpVXtdI5z5fjp3KDg5i,no,no,not-effected
UDV033Xcr2bAtDGKjAJy,no,no,not-effected
m2sEOWvtJMrhfRWiIKoK,no,no,not-effected
o1WeHPugqE4QMLhZ0dkA,no,no,not-effected
bmBTMVsNDQbS1oSUbMLt,no,no,not-effected
Fqtl7QemNXYtUSh5YBzC,yes,question not found - skip add tag,effected
plAJkQ4UzkFMhChPN7QW,yes,question not found - skip add tag,effected
h3DjgAON6I6jjtZxggFP,yes,question not found - skip add tag,effected
lEJ601pKKeX5KOx8bloh,no,no,not-effected
mTdwju9Cb1M75fav9aO7,yes,question not found - skip add tag,effected
ZtP7CqT3dpMZ1UFixLFq,yes,question found but answer not found - add tag,not-effected
hEk7jvoReCa3ooliAuno,yes,question found but answer not found - add tag,not-effected
Py6Nwh7NLs8X9OashaOW,yes,question not found - skip add tag,effected
L9Oy8zx2CwYJjeKs9uZ5,yes,question not found - skip add tag,effected
sHcbNQuaOfQWWdProgjT,yes,question not found - skip add tag,effected
617ujsOAct9Uwn4YcmbZ,yes,question found but answer not found - add tag,not-effected
MUGRZP2pHzbK1sUEROCU,no,no,not-effected
NjQgVLsW4VkGtAZZ3izF,yes,question not found - skip add tag,effected
rdJZJ5puSe2Eg4VgFwnM,no,no,not-effected
JCKGd3SMfuvZUvxcmL0I,yes,question found but answer not found - add tag,not-effected
ssd4UKtIeFAAdK41ODRH,yes,question not found - skip add tag,effected
KU4mhntxjXE6agWVsA8u,yes,question not found - skip add tag,effected
B4ufRWNsS1TWka3qaMCm,yes,question not found - skip add tag,effected
eNizvDxF2hf8vgOARWkc,yes,question not found - skip add tag,effected
EwZof2xZuOAYzfnzbaOt,no,no,not-effected
VIMzBUzXLNwum45EwbS0,no,no,not-effected
R0TJmRqEYqRy6fKWxb2t,no,no,not-effected
c3epUHJ3TH878rlcp2ro,yes,question found but answer not found - add tag,not-effected
UWYvIjRv5AhyLPlRJlEK,yes,question not found - skip add tag,effected
VZp7k2M1E0TPHNHiOksA,yes,question found but answer not found - add tag,not-effected
4iPCC3XkKl6cu4eeOHAp,yes,question found but answer not found - add tag,not-effected
8gqxC6udIIq5hot9YNlz,no,no,not-effected
aKxlOm5EeuRt4VaF1QmM,yes,question not found - skip add tag,effected
pgbHthjZs5wLVfYEnCuI,no,no,not-effected
Mj0aY6vOl5yIuq6VkVw6,yes,question not found - skip add tag,effected
8LPbEQ0JX6rSZw08rFQ4,yes,question not found - skip add tag,effected
MSRQ7NjSkHPiFLMHikBq,yes,question not found - skip add tag,effected
kDqzVNtZefOreUSSr3sN,no,no,not-effected
Bz816JHsnBYvZiKbEAmB,yes,question not found - skip add tag,effected
oeCvHzg9q1kuCNrRvt90,yes,question not found - skip add tag,effected
bg6OWLdY2rPTwSZ7aVHX,no,no,not-effected
f57SG0q9m8hSDCb6N0qV,no,no,not-effected
2tEBjh1SWkP0VIkB2Qpd,yes,question not found - skip add tag,effected
rz1A4wf7DxXrwBDTSLtP,no,no,not-effected
YSfaiSWnhGQ7HJ9ONVzM,no,no,not-effected
qZAoLZ6cxwLT6i8P5F3w,no,no,not-effected
LnyZi2sQiJoXAmejEeQo,no,no,not-effected
dDNdMyEzBN7Oj89D70fv,yes,question not found - skip add tag,effected
Zhws7LwtXPe4CHNvFbhG,yes,question not found - skip add tag,effected
Qi89ubDW8TAVfGGuBwBE,yes,question not found - skip add tag,effected
86kBJ8srQNfaxZZEpkXs,yes,question not found - skip add tag,effected
wPIbMcDmlRuQuOXnrRDh,no,no,not-effected
3ljK4xthziQsmCFuGrpJ,yes,question not found - skip add tag,effected
